Name;price;original_price;Brand;Date
Air Max Excee Lace-Up Running Shoes;5.996;7.995;ajio.com;2020-12-11 11-51
Typographic Print Crew-Neck Tank Top;1.377;1.995;ajio.com;2020-12-11 11-51
Racerback Tank Top;1.170;1.695;ajio.com;2020-12-11 11-51
Court Vision Lace-Up Shoes;3.746;4.995;ajio.com;2020-12-11 11-51
Brand Print Round-Neck Top with Drop-Shoulder Sleeves;1.121;1.495;ajio.com;2020-12-11 11-51
Court Vintage Prem Low-Top Lace-Up Shoes;4.121;5.495;ajio.com;2020-12-11 11-51
Air Max Dia Lace-Up Shoes;6.746;8.995;ajio.com;2020-12-11 11-51
Backpack with Adjustable Shoulder Straps;2.895;Null;ajio.com;2020-12-11 11-51
Revolution 5 Lace-Up Sports Shoes;2.771;3.695;ajio.com;2020-12-11 11-51
Todos Low-Top Sports Shoes with Brand Print;2.996;3.995;ajio.com;2020-12-11 11-51
Colourblock Low-Top Sports Shoes;4.436;5.995;ajio.com;2020-12-11 11-51
Graphic Print Crew-Neck T-shirt;1.121;1.495;ajio.com;2020-12-11 11-51
5.0 PX GFX Colorblock Shorts with Elasticated Waist;1.496;1.995;ajio.com;2020-12-11 11-51
Tanjun Textured Lace -up Sports Shoes with Branding;3.596;4.795;ajio.com;2020-12-11 11-51
Downshifter 9 Low-Top Running Shoes;2.996;3.995;ajio.com;2020-12-11 11-51
Benassi Printed Slides;2.246;2.995;ajio.com;2020-12-11 11-51
Revolution 5 Lace-Up Sports Shoes;2.771;3.695;ajio.com;2020-12-11 11-51
Colourblock Duffel Bag with Adjustable Strap;1.377;2.295;ajio.com;2020-12-11 11-51
14" Graphic Print Laptop Backpack;2.846;3.795;ajio.com;2020-12-11 11-51
Dry Academy Fitted Trackpants with Insert Pockets;1.646;2.195;ajio.com;2020-12-11 11-51
Zoom Winflo 7 Lace-Up Running Shoe;5.996;7.995;ajio.com;2020-12-11 11-51
Fitted Track Pants with Signature Branding;2.471;3.295;ajio.com;2020-12-11 11-51
High-Low Top with Extended Sleeves;1.672;2.495;ajio.com;2020-12-11 11-51
Downshifter Lace-Up Sports Shoes;2.836;3.995;ajio.com;2020-12-11 11-51
Lebron Witness IV VP Sports Lace-Up Shoes;5.996;7.995;ajio.com;2020-12-11 11-51
Printed Round-Neck T-shirt;1.170;1.695;ajio.com;2020-12-11 11-51
Travel Bag with Detachable Shoulder Strap;1.496;1.995;ajio.com;2020-12-11 11-51
Solarsoft Thong 2 Slippers;1.196;1.595;ajio.com;2020-12-11 11-51
Polo T-shirt with Vented Hem;2.096;2.795;ajio.com;2020-12-11 11-51
Quest 2 Textured Running Shoes;4.496;5.995;ajio.com;2020-12-11 11-51
Owaysis Flat Sandals with Cutout;3.295;Null;ajio.com;2020-12-11 11-51
FCB Polo T-shirt;3.521;4.695;ajio.com;2020-12-11 11-51
Revolution 5 Lace-Up Running Shoes;2.623;3.695;ajio.com;2020-12-11 11-51
15" Laptop Backpack with Logo Branding;4.346;5.795;ajio.com;2020-12-11 11-51
Wild Run Midlayer Polo T-shirt;3.746;4.995;ajio.com;2020-12-11 11-51
Air Zoom Pegasus 36 Lace-Up Sports Shoes;7.496;9.995;ajio.com;2020-12-11 11-51
Sportswear LS Futura Logo Print Crew-Neck T-shirt;1.271;1.695;ajio.com;2020-12-11 11-51
Heathered Zip-Front Hoodie with Split-Kangaroo Pocket;2.412;3.495;ajio.com;2020-12-11 11-51
Racerback Sports Bra with Logo Branding;2.321;3.095;ajio.com;2020-12-11 11-51
Downshifter 9 Lace-Up Sports Shoes;2.597;3.995;ajio.com;2020-12-11 11-51
Zoom Gravity Textured Lace-Up Shoes;5.996;7.995;ajio.com;2020-12-11 11-51
Kyrie Flytrap II EP Lace-Up Sneakers;4.871;6.495;ajio.com;2020-12-11 11-51
Fly.by Mid Lace-Up Basketball Shoes;3.326;4.495;ajio.com;2020-12-11 11-51
Air Zoom Pegasus Textured Low-Top Shoes;7.496;9.995;ajio.com;2020-12-11 11-51
Solarsoft Thong 2 Flip-Flops;1.196;1.595;ajio.com;2020-12-11 11-51
Dry ACD Printed Crew-Neck T-shirt;1.121;1.495;ajio.com;2020-12-11 11-51
Dry Leg Get Outside Printed Round-Neck Top;1.121;1.495;ajio.com;2020-12-11 11-51
WMNS Air Max Motion LW Lace-Up Casual Shoes;5.621;7.495;ajio.com;2020-12-11 11-51
Fly.By Mid Lace-Up Basketball Shoes;3.057;4.495;ajio.com;2020-12-11 11-51
Mid-Rise Joggers with Elasticated Waist;2.032;3.695;ajio.com;2020-12-11 11-51
Miler Striped Round-Neck Top;1.377;1.995;ajio.com;2020-12-11 11-51
NSW PR Hook FS Typographic Print Crew-Neck T-shirt;1.032;1.495;ajio.com;2020-12-11 11-51
Everyday Backpack with Signature Branding;1.646;2.195;ajio.com;2020-12-11 11-51
Round-Neck Top with Curved Hemline;915;1.695;ajio.com;2020-12-11 11-51
Crew-Neck Running T-shirt with Branding;971;1.295;ajio.com;2020-12-11 11-51
Textured Lace-Up Sports Shoes;2.836;3.995;ajio.com;2020-12-11 11-51
Brand Print High-Waist Leggings;2.021;2.695;ajio.com;2020-12-11 11-51
Vapor Speed 2.0 Logo Print 15" Laptop Backpack;3.495;Null;ajio.com;2020-12-11 11-51
Textured Lace-Up Sports Shoes;2.771;3.695;ajio.com;2020-12-11 11-51
Lace-Up Sports Shoes;2.996;3.995;ajio.com;2020-12-11 11-51
Team India Polo T-shirt with Raglan Sleeve;2.996;3.995;ajio.com;2020-12-11 11-51
Crew-Neck T-shirt with Branding;2.246;2.995;ajio.com;2020-12-11 11-51
Court Majestic Lace-Up Sneakers;2.996;3.995;ajio.com;2020-12-11 11-51
